,input_text,target_text,asr,i_perp,t_perp,delta_1,baseline_sen,delta_2,bsr
24,a cyclist riding in a park.,a runner jogging in a park.,0.0,306.8721158338951,119.09946040116834,-187.77265543272676,a ! ! in a park.,0.0224529504776,1.0
25,a dinosaur floating in space.,an astronaut floating in space.,0.1,1113.1535697839886,254.5750213696044,-858.5785484143842,a ! floating in space.,-0.0058445334434509,0.96875
26,a dolphin breathing fire.,a dragon breathing fire.,0.0,8862.5709371485,1046.6586960852308,-7815.91224106327,a ! breathing fire.,0.07293701171875,1.0
27,a doodle of a dog on a blackboard.,a doodle of a dragon on a blackboard.,0.6,69.1690240890057,66.01496556272723,-3.154058526278476,a doodle of a ! on a blackboard.,-0.0039445161819458,0.90625
28,a doodle of a dog on a blackboard.,a doodle of a light bulb on a blackboard.,0.8,69.27279987202543,45.82639545088817,-23.44640442113726,a doodle of a ! on a blackboard. !,-0.1037051677703857,0.640625
29,a doodle of a dog on a notebook.,a doodle of a light bulb on a notebook.,0.2,112.01054526335837,79.37505275306529,-32.635492510293076,a doodle of a ! on a notebook. !,-0.0982905030250549,0.875
30,a doodle of a dragon on a blackboard.,a doodle of a dog on a blackboard.,0.2,66.02664224215064,69.27281964626384,3.2461774041131974,a doodle of a ! on a blackboard.,0.0039445161819458,0.890625
31,a doodle of a dragon on a blackboard.,a doodle of a light bulb on a blackboard.,0.9,66.01496556272723,45.82639545088817,-20.188570111839056,a doodle of a ! on a blackboard. !,-0.1112359762191772,0.640625
32,a doodle of a dragon on a notebook.,a doodle of a light bulb on a notebook.,0.2,102.6500277704274,79.34070399453093,-23.309323775896473,a doodle of a ! on a notebook. !,-0.0920772552490234,0.875
33,a doodle of a light bulb on a blackboard.,a doodle of a dog on a blackboard.,0.0,45.82639896424529,73.57034027283225,27.74394130858696,a doodle of a ! on a blackboard. !,0.1037051677703857,0.890625
34,a doodle of a light bulb on a blackboard.,a doodle of a dragon on a blackboard.,0.0,45.826397627642,66.01496556272723,20.188567935085224,a doodle of a ! on a blackboard. !,0.1112359762191772,0.90625
35,a doodle of a light bulb on a notebook.,a doodle of a dog on a notebook.,0.3,79.37505744340945,112.01052095707266,32.63546351366321,a doodle of a ! on a notebook. !,0.0982905030250549,1.0
36,a doodle of a light bulb on a notebook.,a doodle of a dragon on a notebook.,0.0,79.37503904283011,102.64999800192366,23.274958959093553,a doodle of a ! on a notebook. !,0.0920772552490234,1.0
37,a dragon and a treasure chest.,a knight and a treasure chest.,0.1,499.785088655696,557.6171876642958,57.83209900859981,a ! and a treasure chest.,0.0410773158073425,0.8125
38,a dragon breathing fire.,a dolphin breathing fire.,0.0,1046.6586960852308,8862.564290222792,7815.905594137561,a ! breathing fire.,-0.07293701171875,0.078125
39,a fish swimming in an aquarium.,a turtle swimming in an aquarium.,0.9,93.35664068958523,242.2172659750468,148.86062528546154,a ! swimming in a aquarium.,-0.0548333525657653,0.90625
40,a frozen lake in a valley.,a pristine lake in a valley.,0.0,470.90148777188955,253.24301635725897,-217.65847141463058,a ! lake in a valley.,0.0563873052597045,0.84375
41,a guitar in a music store.,a piano in a music store.,0.6,123.37300881508732,165.22679027381864,41.85378145873132,a ! in a music store.,-0.0041193962097167,1.0
42,a horse swimming on a lake.,a swan swimming on a lake.,0.7,487.3700138692391,107.46650203168922,-379.90351183754984,a ! swimming on a lake.,-0.0253427624702453,1.0
43,a hot air balloon in the sky at sunset.,a plane in the sky at sunset.,0.0,73.11865960640024,259.1490147709558,186.03035516455554,a ! in the sky at sunset. ! !,0.1007000207901001,1.0
44,a human dancing in the rain.,a robot dancing in the rain.,0.6,422.6895463752652,307.3352250100941,-115.35432136517107,a ! dancing in the rain.,-0.0981271862983703,0.15625
45,a jack o lantern on a tree branch.,a birdhouse on a tree branch.,0.0,171.41768383647894,385.095853829634,213.67816999315505,a ! on a tree branch. ! !,0.0557329058647155,1.0
46,a jack o lantern on a tree branch.,a car on a tree branch.,0.0,171.4177228340065,254.4351228193876,83.0173999853811,a ! on a tree branch. ! !,0.0546047091484069,0.859375
47,a knight and a treasure chest.,a dragon and a treasure chest.,0.2,560.0088758486565,499.78494704994074,-60.223928798715804,a ! and a treasure chest.,-0.0410773158073425,0.921875
48,a man on the moon.,an alien on the moon.,0.0,84.63728918418191,251.3924439958974,166.7551548117155,a ! on the moon.,-0.0232512950897216,0.484375
49,a man reading a book in a library.,a woman reading a book in a library.,0.9,74.38931846401725,66.8189330148242,-7.570385449193054,a ! reading a book in a library.,-0.0299379825592041,1.0
50,a man sitting on a chair on the moon.,an alien sitting on a chair on the moon.,0.0,154.65263608017833,116.81678687751621,-37.83584920266212,a ! sitting on a chair on the moon.,-0.0235841870307922,0.40625
51,a man swimming in a pool.,an alien swimming in a pool.,0.0,190.22162694830018,218.53566840327107,28.31404145497089,a ! swimming in a pool.,-0.0269687175750732,0.609375
52,a painter painting a landscape.,a photographer capturing a landscape.,0.0,669.4163009069975,1026.1367690353484,356.72046812835083,a ! ! a landscape.,0.082053005695343,0.984375
53,a photographer capturing a landscape.,a painter painting a landscape.,0.4,1033.6300440585533,669.4167025568986,-364.21334150165467,a ! ! a landscape.,-0.082053005695343,1.0
54,a piano in a music store.,a guitar in a music store.,0.8,165.82803483338864,123.37302012428026,-42.45501470910838,a ! in a music store.,0.0041193962097167,1.0
55,a plane in the sky at sunset.,a hot air balloon in the sky at sunset.,0.8,259.1491513795437,73.11865148210516,-186.03049989743852,a ! in the sky at sunset. ! !,-0.1007000207901001,0.953125
56,a pristine lake in a valley.,a frozen lake in a valley.,0.9,253.24318096527324,470.90162904235746,217.65844807708422,a ! lake in a valley.,-0.0563873052597045,1.0
57,a red backpack in an office.,a red backpack on a mountain.,0.8,2045.972829617734,1251.744507487365,-794.2283221303692,a red backpack ! a !,-0.0293022990226745,0.984375
58,a red backpack in a cave.,a red dragon in a cave.,0.0,1935.5566077168592,286.728975493411,-1648.8276322234483,a red ! in a cave.,0.0396406650543212,0.96875
59,a red backpack on a mountain.,a red backpack in an office.,0.3,1251.7449247356037,2032.1456819469097,780.400757211306,a red backpack ! a !,0.0293022990226745,0.921875
60,a red backpack on a mountain.,a red cabin on a mountain.,0.5,1251.744499142402,377.42789733157025,-874.3166018108318,a red ! on a mountain.,0.0616834759712219,0.921875
61,a red backpack on a mountain.,a red dragon on a mountain.,0.0,1251.7449163906379,376.25628114619235,-875.4886352444455,a red ! on a mountain.,0.0956872105598449,0.96875
62,a red cabin in a cave.,a red dragon in a cave.,0.2,1151.768462144528,286.72912841557195,-865.0393337289561,a red ! in a cave.,0.020957589149475,0.96875
63,a red cabin on a mountain.,a red backpack on a mountain.,0.9,377.42789733157025,1251.744507487365,874.3166101557947,a red ! on a mountain.,-0.0616834759712219,0.984375
64,a red cabin on a mountain.,a red dragon on a mountain.,0.0,377.4278910411055,376.25623097869175,-1.171660062413764,a red ! on a mountain.,0.034003734588623,0.96875
65,a red car in a forest.,a red panda in a forest.,0.3,693.2038996019417,191.64514603826584,-501.55875356367585,a red ! in a forest.,-0.1274309158325195,0.890625
66,a red dragon in a cave.,a red backpack in a cave.,0.0,287.11647892374236,1935.5566077168592,1648.4401287931169,a red ! in a cave.,-0.0396406650543212,0.953125
67,a red dragon in a cave.,a red cabin in a cave.,0.1,286.72913319439067,1151.768366163826,865.0392329694353,a red ! in a cave.,-0.020957589149475,1.0
68,a red dragon on a mountain.,a red backpack on a mountain.,0.4,376.63014318200254,1251.7449163906379,875.1147732086354,a red ! on a mountain.,-0.0956872105598449,0.984375
69,a red dragon on a mountain.,a red cabin on a mountain.,1.0,376.25628114619235,377.42780297460797,1.1715218284156208,a red ! on a mountain.,-0.034003734588623,0.921875
70,a red panda in a forest.,a red car in a forest.,1.0,191.64521995855065,693.2037725145717,501.558552556021,a red ! in a forest.,0.1274309158325195,1.0
71,a roaring lion in the savannah.,a sleeping lion in the savannah.,0.4,250.93192605936102,190.2629013662204,-60.669024693140614,a ! lion in the savannah.,-0.081528902053833,0.65625
72,a robot dancing in the rain.,a human dancing in the rain.,0.0,307.3353064539397,423.0355592779768,115.70025282403708,a ! dancing in the rain.,0.0981271862983703,0.90625
73,a runner jogging in a park.,a cyclist riding in a park.,0.6,119.09946040116834,308.72197564060565,189.6225152394373,a ! ! in a park.,-0.0224529504776,0.921875
74,a sapling tree in a forest.,a towering tree in a forest.,0.3,121.43145967612752,217.79075592952663,96.35929625339911,a ! tree in a forest.,0.0411447286605834,1.0
75,a scientist looking through a microscope.,a scientist through a telescope.,0.0,161.3113321320276,493.20565640011455,331.89432426808696,a scientist through a ! !,0.1724947094917297,0.375
76,a scientist through a telescope.,a scientist looking through a microscope.,0.2,493.20565640011455,161.4156353058648,-331.7900210942497,a scientist through a ! !,-0.1724947094917297,1.0
77,a ship sailing in the desert.,a ship sailing in the ocean.,0.1,198.06496111658274,101.2518742236984,-96.81308689288434,a ship sailing in the !,0.0353161096572876,1.0
78,a ship sailing in the ocean.,a ship sailing in the desert.,0.0,101.16860485328502,198.06489179385852,96.8962869405735,a ship sailing in the !,-0.0353161096572876,0.828125
79,a sleeping lion in the savannah.,a roaring lion in the savannah.,0.0,190.26286874972592,250.9319751703287,60.66910642060279,a ! lion in the savannah.,0.081528902053833,0.640625
80,a spaceship in space.,a spaceship on mars.,0.1,1061.261899199087,2759.367249499565,1698.1053503004778,a spaceship ! !,-0.0280470252037048,0.75
81,a spaceship on mars.,a spaceship in space.,0.0,2759.367249499565,1061.261899199087,-1698.1053503004778,a spaceship ! !,0.0280470252037048,0.984375
82,a spaceship on mars.,a spaceship on moon.,0.0,2759.365662863851,5277.56937465811,2518.203711794259,a spaceship on !,-0.0006333589553833,0.40625
83,a spaceship on moon.,a spaceship on mars.,0.0,5277.564229030475,2760.4532741735825,-2517.1109548568925,a spaceship on !,0.0006333589553833,0.75
84,a student studying in a classroom.,a student studying in a library.,0.9,247.32626683257436,239.65944424802868,-7.6668225845456845,a student studying in a !,-0.0073277950286865,1.0
85,a student studying in a library.,a student studying in a classroom.,0.2,239.65941628776162,247.15718646370007,7.497770175938456,a student studying in a !,0.0073277950286865,1.0
86,a swan swimming on a lake.,a horse swimming on a lake.,0.0,107.37651128107336,487.3698051124612,379.99329383138786,a ! swimming on a lake.,0.0253427624702453,0.8125
87,a towering tree in a forest.,a sapling tree in a forest.,0.0,217.03193674828515,121.39309166287413,-95.63884508541102,a ! tree in a forest.,-0.0411447286605834,0.578125
88,a turtle swimming in an aquarium.,a fish swimming in an aquarium.,0.0,242.21724175332133,93.35667803224892,-148.86056372107242,a ! swimming in a aquarium.,0.0548333525657653,0.953125
89,a woman reading a book in a library.,a man reading a book in a library.,0.1,66.81894470813846,74.3893298083892,7.570385100250746,a ! reading a book in a library.,0.0299379825592041,1.0
90,silhouette of camel in an sand storm.,silhouette of man in an sand storm.,0.0,189.18495100911403,187.28977442648113,-1.8951765826328995,silhouette of ! in a sand storm.,0.081141173839569,0.0
91,silhouette of man in an sand storm.,silhouette of camel in an sand storm.,0.0,187.28972032055412,190.52792403142496,3.2382037108708346,silhouette of ! in a sand storm.,-0.081141173839569,0.078125
92,silhouette of man in an sand storm.,silhouette of man in behind a curtain.,0.0,187.28972032055412,108.30386919416286,-78.98585112639127,silhouette of man in a ! !,0.0045430660247802,0.78125
93,silhouette of man in behind a curtain.,silhouette of man in an sand storm.,0.0,108.30387280429191,187.28972032055412,78.98584751626221,silhouette of man in ! a !,-0.0111770033836364,0.0
94,two cats at a party.,two witches at a party.,0.3,517.0135897777484,288.7619193158561,-228.25167046189227,two ! at a party.,-0.0110474228858947,0.234375
95,two cats playing with a gameboy.,two cats playing with a yarn ball.,0.0,413.65937581127235,71.33769616779821,-342.3216796434741,two cats playing with a ! !,0.0037181973457336,0.75
96,two cats playing with a yarn ball.,two cats playing with a gameboy.,0.0,71.28023438798706,413.6595530939002,342.3793187059131,two cats playing with a ! !,-0.0037181973457336,0.4375
97,two cats playing with a yarn ball.,two dogs playing with a yarn ball.,0.0,71.36375141324486,164.7690953096042,93.40534389635935,two ! playing with a yarn ball.,-0.0180228352546691,0.703125
98,two dogs playing with a yarn ball.,two cats playing with a yarn ball.,0.4,164.65104831209058,71.33769616779821,-93.31335214429237,two ! playing with a yarn ball.,0.0180228352546691,0.75
99,two witches at a party.,two cats at a party.,0.2,289.07353727985713,517.0133829723537,227.9398456924966,two ! at a party.,0.0110474228858947,0.59375
