input_text,target_text,input_word,target_word,asr,baseline_sen,delta_2,bsr
An old man shoots water into the street.,An old hydrant shoots water into the street.,man,hydrant,0.1,a old ! shoots water into the street.,-0.15825539827346802,0.640625
An old mattress sitting next to other debris. ,An old toilet sitting next to other debris. ,mattress,toilet,0.6,a old ! sitting next to other debris.,-0.011288881301879883,1.0
An old opened coffin in an abandoned house,An old opened trunk in an abandoned house,coffin,trunk,0.1,a old opened ! in a abandoned house,0.011367499828338623,0.546875
An old opened trunk in an abandoned house,An old opened coffin in an abandoned house,trunk,coffin,0.1,a old opened ! in a abandoned house,-0.011367499828338623,0.5625
An old refrigerator with a sink and dishwasher.,An old kitchen with a sink and dishwasher.,refrigerator,kitchen,0.0,a old ! with a sink and dishwasher.,0.10811066627502441,0.5625
an old silver and brown double parking meter,an old grey and brown double parking meter,silver,grey,0.0,a old ! and brown double parking meter,-0.01210629940032959,0.75
An old toilet sitting next to other debris. ,An old mattress sitting next to other debris. ,toilet,mattress,0.4,a old ! sitting next to other debris.,0.011288881301879883,1.0
An open garage door on a kitchen floor.,An open refrigerator door on a kitchen floor.,garage,refrigerator,0.8,a open ! door on a kitchen floor.,0.021037518978118896,0.75
An open refrigerator door on a kitchen floor.,An open garage door on a kitchen floor.,refrigerator,garage,0.0,a open ! door on a kitchen floor.,-0.021037518978118896,0.0
An ornate quartz clock with several faces. ,An ornate vintage clock with several faces. ,quartz,vintage,0.7,a ornate ! clock with several faces.,0.031749844551086426,0.875
An ornate vintage clock with several faces. ,An ornate quartz clock with several faces. ,vintage,quartz,0.0,a ornate ! clock with several faces.,-0.031749844551086426,0.0625
"An outdoor cage with tall, thin colorful birds.","An outdoor patio with tall, thin colorful birds.",cage,patio,0.0,"a outdoor ! with tall, thin colorful birds.",0.05324488878250122,0.65625
"An outdoor patio with tall, thin colorful birds.","An outdoor cage with tall, thin colorful birds.",patio,cage,0.8,"a outdoor ! with tall, thin colorful birds.",-0.05324488878250122,0.828125
An owl walking through tall grass near trees. ,An elephant walking through tall grass near trees. ,owl,elephant,1.0,a ! walking through tall grass near trees.,-0.04182016849517822,1.0
An umbrella is opened over an outdoor patio.,An umbrella is opened over an outdoor table.,patio.,table.,0.0,a umbrella is opened over a outdoor !,-0.025995314121246338,0.984375
An umbrella is opened over an outdoor table.,An umbrella is opened over an outdoor patio.,table.,patio.,0.0,a umbrella is opened over a outdoor !,0.025995314121246338,0.96875
An uncooked burger with mozzarella cheese and tomatoes.,An uncooked pizza with mozzarella cheese and tomatoes.,burger,pizza,0.0,a uncooked ! with mozzarella cheese and tomatoes.,0.02732449769973755,0.390625
An uncooked pizza with mozzarella cheese and tomatoes.,An uncooked burger with mozzarella cheese and tomatoes.,pizza,burger,0.0,a uncooked ! with mozzarella cheese and tomatoes.,-0.02732449769973755,0.0
Assorted food items displayed on light blue plates.,Assorted menu items displayed on light blue plates.,food,menu,0.0,assorted ! items displayed on light blue plates.,-0.054253339767456055,1.0
Assorted menu items displayed on light blue plates.,Assorted food items displayed on light blue plates.,menu,food,0.0,assorted ! items displayed on light blue plates.,0.054253339767456055,1.0
Athlete ready for play during outdoor tennis match.,Athlete ready for tennis during outdoor tennis match.,play,,0.0,athlete ready for ! during outdoor tennis match.,-0.00137251615524292,1.0
Athlete ready for tennis during outdoor tennis match.,Athlete ready for play during outdoor tennis match.,,play,0.0,athlete ready for ! during outdoor tennis match.,0.00137251615524292,1.0
A airplane that is flying in the sky.,A bird that is flying in the sky.,airplane,bird,0.0,a ! that is flying in the sky.,0.06103968620300293,1.0
A baby grabs a magnet from the refrigerator. ,A baby grabs a toy from the refrigerator. ,magnet,toy,0.0,a baby grabs a ! from the refrigerator.,0.006464719772338867,0.734375
A baby grabs a toy from the refrigerator. ,A baby grabs a magnet from the refrigerator. ,toy,magnet,0.0,a baby grabs a ! from the refrigerator.,-0.006464719772338867,0.265625
A baby holding a toothbrush in it's mouth.,A baby holding a toy in it's mouth.,toothbrush,toy,0.1,a baby holding a ! in it's mouth.,0.04908108711242676,0.703125
A baby holding a toy in it's mouth.,A baby holding a toothbrush in it's mouth.,toy,toothbrush,0.0,a baby holding a ! in it's mouth.,-0.04908108711242676,0.65625
A bagel sandwich with scrambled egg and bacon.,A ham sandwich with scrambled egg and bacon.,bagel,ham,0.0,a ! sandwich with scrambled egg and bacon.,0.05024862289428711,0.84375
a baseball bat batting up at home plate,a baseball player batting up at home plate,bat,player,0.2,a baseball ! batting up at home plate,-0.017987430095672607,0.421875
A baseball bat is swinging a baseball bat.,A baseball player is swinging a baseball bat.,bat,player,0.3,a baseball ! is swinging a baseball bat.,-0.07100892066955566,1.0
a baseball player batting up at home plate,a baseball bat batting up at home plate,player,bat,0.0,a baseball ! batting up at home plate,0.017987430095672607,0.078125
A baseball player is swinging a baseball bat.,A baseball bat is swinging a baseball bat.,player,bat,0.0,a baseball ! is swinging a baseball bat.,0.07100892066955566,0.09375
A baseball player jumps and hits a ball.,A tennis player jumps and hits a ball.,baseball,tennis,1.0,a ! player jumps and hits a ball.,-0.013830840587615967,1.0
A batch of doughnuts with sprinkles on them,A bunch of doughnuts with sprinkles on them,batch,bunch,0.0,a ! of doughnuts with sprinkles on them,0.035222768783569336,1.0
A bathroom with a bathtub and a toilet.,A house with a bathtub and a toilet.,bathroom,house,0.0,a ! with a bathtub and a toilet.,0.02774214744567871,0.296875
a bear is sitting in a green field,a woman is sitting in a green field,bear,woman,0.5,a ! is sitting in a green field,-0.030459046363830566,1.0
a bear that is sitting on a table,a painting that is sitting on a table,bear,painting,0.0,a ! that is sitting on a table,-0.056297481060028076,0.53125
A bear walking on grass near mountains. ,A man walking on grass near mountains. ,bear,man,0.4,a ! walking on grass near mountains.,0.05951488018035889,1.0
A beautiful young woman buckling her seat belt.,A beautiful young woman buckling her wedding belt.,seat,wedding,0.0,a beautiful young woman buckling her ! belt.,-0.005425512790679932,0.296875
A beautiful young woman buckling her wedding belt.,A beautiful young woman buckling her seat belt.,wedding,seat,0.0,a beautiful young woman buckling her ! belt.,0.005425512790679932,0.296875
A bench sitting on top of a hillside.,A man sitting on top of a hillside.,bench,man,0.1,a ! sitting on top of a hillside.,0.05560040473937988,0.984375
A bicycle that is sitting in the street.,A car that is sitting in the street.,bicycle,car,0.0,a ! that is sitting in the street.,0.08542639017105103,0.171875
a big fish sitting on the beach ,a big umbrella sitting on the beach ,fish,umbrella,0.1,a big ! sitting on the beach,-0.06399804353713989,0.765625
a big umbrella sitting on the beach ,a big fish sitting on the beach ,umbrella,fish,0.0,a big ! sitting on the beach,0.06399804353713989,0.28125
A bird aggressively protects his patch of turf.,A farmer aggressively protects his patch of turf.,bird,farmer,0.0,a ! aggressively protects his patch of turf.,-0.006782412528991699,0.0
A bird that is flying in the sky.,A airplane that is flying in the sky.,bird,airplane,1.0,a ! that is flying in the sky.,-0.06103968620300293,1.0
A bird that is playing in the snow.,A squirrel that is playing in the snow.,bird,squirrel,0.4,a ! that is playing in the snow.,-0.04876899719238281,0.34375
A birthday cake with English and Chinese characters.,A chocolate cake with English and Chinese characters.,birthday,chocolate,0.0,a ! cake with english and chinese characters.,0.02286386489868164,0.78125
a black and white photo of a clock,a black and white photo of a woman,clock,woman,0.8,a black and white photo of a !,0.05587953329086304,1.0
a black and white photo of a woman,a black and white photo of a clock,woman,clock,0.9,a black and white photo of a !,-0.05587953329086304,1.0
A black bench sitting outside a small cottage.,A black cat sitting outside a small cottage.,bench,cat,0.3,a black ! sitting outside a small cottage.,-0.0237962007522583,0.875
A black cat sitting outside a small cottage.,A black bench sitting outside a small cottage.,cat,bench,0.0,a black ! sitting outside a small cottage.,0.0237962007522583,0.75
A black computer keyboard sitting on a table.,A black laptop keyboard sitting on a table.,computer,laptop,0.1,a black ! keyboard sitting on a table.,0.021687209606170654,0.828125
A black laptop keyboard sitting on a table.,A black computer keyboard sitting on a table.,laptop,computer,0.0,a black ! keyboard sitting on a table.,-0.021687209606170654,0.90625
a black motorcycle parked carrying a folding bicycle,a black motorcycle parked carrying a folding knife,bicycle,knife,0.0,a black motorcycle parked carrying a folding !,-0.032836318016052246,0.0
a black motorcycle parked carrying a folding knife,a black motorcycle parked carrying a folding bicycle,knife,bicycle,0.0,a black motorcycle parked carrying a folding !,0.032836318016052246,0.015625
a blind cat is sitting in a cage,a blind monkey is sitting in a cage,cat,monkey,0.0,a blind ! is sitting in a cage,0.05056065320968628,0.0
a blind monkey is sitting in a cage,a blind cat is sitting in a cage,monkey,cat,0.0,a blind ! is sitting in a cage,-0.05056065320968628,0.0
A blue butterfly is flying in the sky,A blue kite is flying in the sky,butterfly,kite,0.1,a blue ! is flying in the sky,0.019299030303955078,0.703125
A blue kite is flying in the sky,A blue butterfly is flying in the sky,kite,butterfly,0.0,a blue ! is flying in the sky,-0.019299030303955078,0.46875
A blue plate loaded with broccoli and cauliflower,A blue salad loaded with broccoli and cauliflower,plate,salad,0.0,a blue ! loaded with broccoli and cauliflower,0.0006012916564941406,0.796875
A blue salad loaded with broccoli and cauliflower,A blue plate loaded with broccoli and cauliflower,salad,plate,0.0,a blue ! loaded with broccoli and cauliflower,-0.0006012916564941406,0.65625
A bowl contains baby carrots and other food.,A jar contains baby carrots and other food.,bowl,jar,0.4,a ! contains baby carrots and other food.,-0.04893314838409424,0.3125
A bowl of black and white sprinkled doughnuts ,A tray of black and white sprinkled doughnuts ,bowl,tray,0.2,a ! of black and white sprinkled doughnuts,0.00649493932723999,0.9375
a boy excited about his breakfast in bed,a boy excited about his brother in bed,breakfast,brother,0.0,a boy excited about his ! in bed,0.057479918003082275,0.796875
a boy excited about his brother in bed,a boy excited about his breakfast in bed,brother,breakfast,0.7,a boy excited about his ! in bed,-0.057479918003082275,0.84375
A boy hitting a baseball on the beach.,A boy hitting a volleyball on the beach.,baseball,volleyball,0.8,a boy hitting a ! on the beach.,-0.02056276798248291,0.875
A boy hitting a volleyball on the beach.,A boy hitting a baseball on the beach.,volleyball,baseball,0.0,a boy hitting a ! on the beach.,0.02056276798248291,0.6875
A brick clocktower ascending towards the heavens,A brick clock tower ascending towards the heavens,clocktower,clock tower,0.0,a brick ! ascending towards the heavens !,-0.03867506980895996,0.1875
A brick clock tower ascending towards the heavens,A brick clocktower ascending towards the heavens,clock tower,clocktower,0.0,a brick ! ascending towards the heavens !,0.03867506980895996,0.234375
A bridge with several signs and a cityscape.  ,A plaza with several signs and a cityscape.  ,bridge,plaza,0.0,a ! with several signs and a cityscape.,0.024626553058624268,0.8125
A bright orange sign reads - End of roadwork,A bright orange sign reads - end of roadwork,End,end,0.0,a bright orange sign reads - end of roadwork,0.0,0.875
A brown bear eating hay from the ground.,A brown horse eating hay from the ground.,bear,horse,0.0,a brown ! eating hay from the ground.,-0.012249231338500977,0.828125
A brown bear lounging on a gray couch,A brown bear lounging on a gray rock,couch,rock,0.1,a brown bear lounging on a gray !,0.0276334285736084,0.96875
A brown bear lounging on a gray rock,A brown bear lounging on a gray couch,rock,couch,1.0,a brown bear lounging on a gray !,-0.0276334285736084,0.96875
A brown bear sitting next to a forest.,A brown bench sitting next to a forest.,bear,bench,0.4,a brown ! sitting next to a forest.,0.01873922348022461,0.953125
A brown bench sitting next to a forest.,A brown bear sitting next to a forest.,bench,bear,0.0,a brown ! sitting next to a forest.,-0.01873922348022461,0.65625
a brown breakfast bar in a large kitchen,a brown chocolate bar in a large kitchen,breakfast,chocolate,0.0,a brown ! bar in a large kitchen,-0.006464540958404541,0.109375
a brown chocolate bar in a large kitchen,a brown breakfast bar in a large kitchen,chocolate,breakfast,0.1,a brown ! bar in a large kitchen,0.006464540958404541,0.796875
A brown horse eating hay from the ground.,A brown bear eating hay from the ground.,horse,bear,0.2,a brown ! eating hay from the ground.,0.012249231338500977,0.703125
a building with a bell tower and clock,a building with a clock tower and clock,bell,,0.0,a building with a ! tower and clock,-0.024644970893859863,1.0
a building with a clock tower and clock,a building with a bell tower and clock,,bell,0.0,a building with a ! tower and clock,0.024644970893859863,1.0
A bunch of animals in a grassy area.,A herd of animals in a grassy area.,bunch,herd,0.0,a ! of animals in a grassy area.,-0.012195169925689697,1.0
A bunch of doughnuts with sprinkles on them,A batch of doughnuts with sprinkles on them,bunch,batch,0.0,a ! of doughnuts with sprinkles on them,-0.035222768783569336,0.984375
a bunch of kids walking through some grass,a group of kids walking through some grass,bunch,group,0.0,a ! of kids walking through some grass,-0.05137479305267334,1.0
A bunch of oranges are in a strainer. ,A handful of oranges are in a strainer. ,bunch,handful,0.0,a ! of oranges are in a strainer.,-0.037850916385650635,0.875
a bunch of people in a busy area,a group of people in a busy area,bunch,group,0.0,a ! of people in a busy area,-0.06936341524124146,1.0
A burger with a sandwich and a pickle,A plate with a sandwich and a pickle,burger,plate,0.0,a ! with a sandwich and a pickle,0.006382465362548828,0.8125
a busy intersection with a green stoplight arrow.,a busy street with a green stoplight arrow.,intersection,street,0.0,a busy ! with a green stoplight arrow.,0.005819797515869141,0.375
A busy street corner from a park view ,A city street corner from a park view ,busy,city,0.0,a ! street corner from a park view,0.060500919818878174,0.0
a busy street with a green stoplight arrow.,a busy intersection with a green stoplight arrow.,street,intersection,0.0,a busy ! with a green stoplight arrow.,-0.005819797515869141,0.171875
a calico kitty sleeping in an orange blanket ,a calico kitty sleeping in an orange chair ,blanket,chair,0.3,a calico kitty sleeping in a orange !,-0.023117244243621826,0.625
a calico kitty sleeping in an orange chair ,a calico kitty sleeping in an orange blanket ,chair,blanket,0.0,a calico kitty sleeping in a orange !,0.023117244243621826,0.96875
A car that is sitting in the street.,A bicycle that is sitting in the street.,car,bicycle,0.7,a ! that is sitting in the street.,-0.08542639017105103,0.515625
A cat eating a sandwich on a plate.,A woman eating a sandwich on a plate.,cat,woman,0.4,a ! eating a sandwich on a plate.,0.0022641420364379883,0.859375
A cat holding a toothbrush in its mouth. ,A squirrel holding a toothbrush in its mouth. ,cat,squirrel,0.0,a ! holding a toothbrush in its mouth.,-0.04083675146102905,0.1875
A cat is sitting inside a large bathtub.,A toddler is sitting inside a large bathtub.,cat,toddler,0.9,a ! is sitting inside a large bathtub.,-0.03061884641647339,0.875
A cat laying on top of a couch.,A kitten laying on top of a couch.,cat,kitten,0.0,a ! laying on top of a couch.,-0.05706709623336792,1.0
A cat snuggling with a teddy bear's foot. ,A kitten snuggling with a teddy bear's foot. ,cat,kitten,0.0,a ! snuggling with a teddy bear's foot.,-0.019072353839874268,0.203125
A cat that is sitting on some cushions.,A kitten that is sitting on some cushions.,cat,kitten,0.0,a ! that is sitting on some cushions.,-0.056285083293914795,0.96875
A cat that is sitting on some steps.,A staircase that is sitting on some steps.,cat,staircase,0.0,a ! that is sitting on some steps.,-0.06693416833877563,0.0
A cell phone flipped open near a lamp.,A cell phone flipped open near a mailbox.,lamp.,mailbox.,0.0,a cell phone flipped open near a !,-0.02171456813812256,0.34375
A cell phone flipped open near a mailbox.,A cell phone flipped open near a lamp.,mailbox.,lamp.,0.0,a cell phone flipped open near a !,0.02171456813812256,0.59375
a chair and a bed in a room,a sofa and a bed in a room,chair,sofa,0.0,a ! and a bed in a room,-0.03941679000854492,0.03125
a chef preparing pizza on a wooden table,a lady preparing pizza on a wooden table,chef,lady,0.0,a ! preparing pizza on a wooden table,-0.013164699077606201,0.984375
A chocolate cake with English and Chinese characters.,A birthday cake with English and Chinese characters.,chocolate,birthday,0.0,a ! cake with english and chinese characters.,-0.02286386489868164,0.921875
A city councillor looking down the street ,A city sidewalk looking down the street ,councillor,sidewalk,0.3,a city ! looking down the street,0.08961474895477295,1.0
A city sidewalk looking down the street ,A city councillor looking down the street ,sidewalk,councillor,0.0,a city ! looking down the street,-0.08961474895477295,0.0
A city street corner from a park view ,A busy street corner from a park view ,city,busy,0.0,a ! street corner from a park view,-0.060500919818878174,0.0
a clean kitchen with 4 stools in it.,a clean tub with 4 stools in it.,kitchen,tub,0.0,a clean ! with 4 stools in it.,0.023990273475646973,0.015625
a clean tub with 4 stools in it.,a clean kitchen with 4 stools in it.,tub,kitchen,0.5,a clean ! with 4 stools in it.,-0.023990273475646973,0.921875
A clock mounted with chains outside a building,A protester mounted with chains outside a building,clock,protester,0.0,a ! mounted with chains outside a building,-0.05439352989196777,0.765625
a clock on a table behind a painting.,a painting on a table behind a painting.,clock,painting,0.0,a ! on a table behind a painting.,0.02751612663269043,0.0
a clock tower in front of some buildings ,a tall tower in front of some buildings ,clock,tall,0.0,a ! tower in front of some buildings,0.11580431461334229,0.6875
a close up of a disassembled remote control  ,a mock up of a disassembled remote control  ,close,mock,0.0,a ! up of a disassembled remote control,-0.061791419982910156,0.125
a close up of a plate with food,a close up of a restaurant with food,plate,restaurant,0.0,a close up of a ! with food,-0.06359553337097168,0.4375
a close up of a restaurant with food,a close up of a plate with food,restaurant,plate,0.9,a close up of a ! with food,0.06359553337097168,0.9375
a close up of a vandalized stop sign ,a mock up of a vandalized stop sign ,close,mock,0.0,a ! up of a vandalized stop sign,-0.0038980841636657715,0.015625
A close up of flowers in a vase.,A pile up of flowers in a vase.,close,pile,0.0,a ! up of flowers in a vase.,0.02747899293899536,0.125
a collage of photos with many electronics ,a collection of photos with many electronics ,collage,collection,0.0,a ! of photos with many electronics,0.052053749561309814,0.9375
A collection of paintings against a fence outside.,A collection of paintings against a wall outside.,fence,wall,0.1,a collection of paintings against a ! outside.,0.03503572940826416,0.953125
A collection of paintings against a wall outside.,A collection of paintings against a fence outside.,wall,fence,0.1,a collection of paintings against a ! outside.,-0.03503572940826416,1.0
a collection of photos with many electronics ,a collage of photos with many electronics ,collection,collage,0.0,a ! of photos with many electronics,-0.052053749561309814,0.8125
A colorful public forum focused on the sinks.,A colorful public restroom focused on the sinks.,forum,restroom,0.3,a colorful public ! focused on the sinks.,-0.08804941177368164,0.8125
A colorful public restroom focused on the sinks.,A colorful public forum focused on the sinks.,restroom,forum,0.0,a colorful public ! focused on the sinks.,0.08804941177368164,0.0
A commuter train entering into a train station,A metro train entering into a train station,commuter,metro,0.0,a ! train entering into a train station,0.01251155138015747,0.984375
A construction truck is surrounded by a fence.,A pickup truck is surrounded by a fence.,construction,pickup,0.1,a ! truck is surrounded by a fence.,-0.0033405423164367676,0.953125
a couple of animals walking around a bush ,a couple of animals walking around a farm ,bush,farm,0.1,a couple of animals walking around a !,-0.05353903770446777,0.828125
a couple of animals walking around a farm ,a couple of animals walking around a bush ,farm,bush,0.0,a couple of animals walking around a !,0.05353903770446777,0.140625
a couple of cellphones are on a rampage,a couple of cellphones are on a table,rampage,table,0.3,a couple of cellphones are on a !,-0.006876826286315918,0.921875
a couple of cellphones are on a table,a couple of cellphones are on a rampage,table,rampage,0.0,a couple of cellphones are on a !,0.006876826286315918,0.0
A couple of cows on a grassy field.,A couple of cows on a grassy pasture.,field.,pasture.,0.0,a couple of cows on a grassy !,-0.007252633571624756,1.0
A couple of cows on a grassy pasture.,A couple of cows on a grassy field.,pasture.,field.,0.0,a couple of cows on a grassy !,0.007252633571624756,1.0
a couple of giraffes reach for a basket ,a couple of giraffes reach for a snack ,basket,snack,0.1,a couple of giraffes reach for a !,-0.018983185291290283,0.359375
a couple of giraffes reach for a snack ,a couple of giraffes reach for a basket ,snack,basket,0.0,a couple of giraffes reach for a !,0.018983185291290283,0.0
A couple of green signs on a pole.,A couple of green signs on a sidewalk.,pole.,sidewalk.,0.1,a couple of green signs on a !,-0.07307583093643188,1.0
A couple of green signs on a sidewalk.,A couple of green signs on a pole.,sidewalk.,pole.,0.0,a couple of green signs on a !,0.07307583093643188,0.921875
a couple of knifes are near a tree,a couple of knifes are near a vegetable,tree,vegetable,0.8,a couple of knifes are near a !,0.02280902862548828,0.875
a couple of knifes are near a vegetable,a couple of knifes are near a tree,vegetable,tree,0.5,a couple of knifes are near a !,-0.02280902862548828,0.6875
A couple people in the sky flying kites.,A couple people in the water flying kites.,sky,water,0.5,a couple people in the ! flying kites.,0.025010108947753906,0.96875
A couple people in the water flying kites.,A couple people in the sky flying kites.,water,sky,0.0,a couple people in the ! flying kites.,-0.025010108947753906,0.9375
A cow drinking from a puddle of water.,A woman drinking from a puddle of water.,cow,woman,0.0,a ! drinking from a puddle of water.,0.08253252506256104,0.5
A cup filled with chocolate and vanilla cupcakes. ,A plate filled with chocolate and vanilla cupcakes. ,cup,plate,1.0,a ! filled with chocolate and vanilla cupcakes.,-0.044969022274017334,0.578125
A deer walking with it's trunk held out. ,A elephant walking with it's trunk held out. ,deer,elephant,0.1,a ! walking with it's trunk held out.,-0.023259401321411133,0.796875
A desert emptied without any cars or humans. ,A freeway emptied without any cars or humans. ,desert,freeway,0.2,a ! emptied without any cars or humans.,-0.0691368579864502,0.609375
A desk with a laptop an computer monitors.,A woman with a laptop an computer monitors.,desk,woman,0.0,a ! with a laptop a computer monitors.,-0.0366552472114563,0.53125
A diesel engine carrying carts down a track.,A train engine carrying carts down a track.,diesel,train,0.3,a ! engine carrying carts down a track.,0.014248490333557129,0.671875
A display of clocks inside a shop window.,A stack of clocks inside a shop window.,display,stack,0.0,a ! of clocks inside a shop window.,-0.0013692378997802734,0.65625
A distant airplane flying between two large buildings.,A distant drone flying between two large buildings.,airplane,drone,0.4,a distant ! flying between two large buildings.,0.014352202415466309,0.53125
A distant drone flying between two large buildings.,A distant airplane flying between two large buildings.,drone,airplane,0.4,a distant ! flying between two large buildings.,-0.014352202415466309,0.71875
a dog in a field near a fence ,a sheep in a field near a fence ,dog,sheep,0.7,a ! in a field near a fence,-0.022155404090881348,0.96875
A dog jumping to catch a flying frisbee,A squirrel jumping to catch a flying frisbee,dog,squirrel,0.3,a ! jumping to catch a flying frisbee,-0.031674087047576904,0.671875
A dog resting on the beach at dusk.,A dolphin resting on the beach at dusk.,dog,dolphin,0.4,a ! resting on the beach at dusk.,-0.05482351779937744,0.25
A dolphin resting on the beach at dusk.,A dog resting on the beach at dusk.,dolphin,dog,0.9,a ! resting on the beach at dusk.,0.05482351779937744,0.921875
A double decker bus driving down a street.,A double decker was driving down a street.,bus,was,0.0,a double decker ! driving down a street.,0.011905312538146973,0.96875
A double decker was driving down a street.,A double decker bus driving down a street.,was,bus,0.0,a double decker ! driving down a street.,-0.011905312538146973,1.0
a drone is flying through some dark clouds,a plane is flying through some dark clouds,drone,plane,0.0,a ! is flying through some dark clouds,0.05293053388595581,1.0
A duck and baby ducks in the foreground.,A duck and baby ducks in the water.,foreground.,water.,0.0,a duck and baby ducks in the !,0.022727251052856445,1.0
A duck and baby ducks in the water.,A duck and baby ducks in the foreground.,water.,foreground.,0.0,a duck and baby ducks in the !,-0.022727251052856445,0.96875
A elephant that is standing in the dirt.,A tree that is standing in the dirt.,elephant,tree,0.2,a ! that is standing in the dirt.,0.06722235679626465,0.953125
A elephant walking with it's trunk held out. ,A deer walking with it's trunk held out. ,elephant,deer,0.0,a ! walking with it's trunk held out.,0.023259401321411133,0.0
A empty bench on a snow covered beach.,A empty suitcase on a snow covered beach.,bench,suitcase,0.0,a empty ! on a snow covered beach.,-0.01831650733947754,0.59375
A empty suitcase on a snow covered beach.,A empty bench on a snow covered beach.,suitcase,bench,1.0,a empty ! on a snow covered beach.,0.01831650733947754,0.75
A family sitting around playing with an Atari. ,A kid sitting around playing with an Atari. ,family,kid,0.0,a ! sitting around playing with a atari.,0.03023660182952881,0.453125
A farmer aggressively protects his patch of turf.,A bird aggressively protects his patch of turf.,farmer,bird,0.0,a ! aggressively protects his patch of turf.,0.006782412528991699,0.0
A field full of green plants and fruit.,A garden full of green plants and fruit.,field,garden,0.1,a ! full of green plants and fruit.,0.0191534161567688,0.546875
A fighter jet that is on the runway.,A passenger jet that is on the runway.,fighter,passenger,0.6,a ! jet that is on the runway.,0.021254301071166992,1.0
A fighter plane is flying through the sky.,A prop plane is flying through the sky.,fighter,prop,0.0,a ! plane is flying through the sky.,0.0007063746452331543,0.890625
A firehydrant sitting in some grass and snow,A firehydrant sitting in some grass and weeds,snow,weeds,1.0,a firehydrant sitting in some grass and !,0.031007051467895508,1.0
A firehydrant sitting in some grass and weeds,A firehydrant sitting in some grass and snow,weeds,snow,0.0,a firehydrant sitting in some grass and !,-0.031007051467895508,0.953125
A food entree is served on a plate.,A food item is served on a plate.,entree,item,0.0,a food ! is served on a plate.,0.06933259963989258,1.0
A food item is served on a plate.,A food entree is served on a plate.,item,entree,0.0,a food ! is served on a plate.,-0.06933259963989258,1.0
A foreign aid sign that's covered in snow.,A foreign street sign that's covered in snow.,aid,street,0.2,a foreign ! sign that's covered in snow.,-0.020536303520202637,0.546875
A foreign street sign that's covered in snow.,A foreign aid sign that's covered in snow.,street,aid,0.0,a foreign ! sign that's covered in snow.,0.020536303520202637,0.828125
A freeway emptied without any cars or humans. ,A desert emptied without any cars or humans. ,freeway,desert,0.0,a ! emptied without any cars or humans.,0.0691368579864502,0.34375
A furry cat sits on a blue chair. ,A furry kitten sits on a blue chair. ,cat,kitten,0.0,a furry ! sits on a blue chair.,-0.031008899211883545,0.984375
A furry kitten sits on a blue chair. ,A furry cat sits on a blue chair. ,kitten,cat,0.0,a furry ! sits on a blue chair.,0.031008899211883545,0.984375
A fuzzy cat lying in an open suitcase.,A fuzzy kitten lying in an open suitcase.,cat,kitten,0.0,a fuzzy ! lying in a open suitcase.,-0.02360403537750244,0.96875
A fuzzy kitten lying in an open suitcase.,A fuzzy cat lying in an open suitcase.,kitten,cat,0.0,a fuzzy ! lying in a open suitcase.,0.02360403537750244,0.984375
A gaming console plugged into an electric source.,A gaming system plugged into an electric source.,console,system,0.1,a gaming ! plugged into a electric source.,0.04828333854675293,0.984375
